timestamp,symbol,direction,entry_price,exit_price,quantity,pnl_usd,balance_after,exit_reason
2026-03-10T16:15:00+00:00,XAUUSDT,short,5219.34,5228.16,0.05,-0.441000,9999.56,structure
2026-03-11T00:30:00+00:00,XAUUSDT,short,5210.79,5201.21,0.05,0.479017,10000.04,stop
2026-03-11T07:30:00+00:00,XAUUSDT,long,5196.82,5186.61,0.05,-0.510274,9999.53,stop
2026-03-11T08:30:00+00:00,XAUUSDT,long,5183.23,5184.31,0.05,0.053772,9999.58,stop
2026-03-11T13:00:00+00:00,XAUUSDT,long,5166.00,5168.49,0.05,0.124589,9999.71,stop
2026-03-11T13:45:00+00:00,XAUUSDT,long,5163.39,5171.43,0.05,0.402030,10000.11,stop
2026-03-11T15:45:00+00:00,XAUUSDT,long,5168.74,5171.33,0.05,0.129532,10000.24,stop
2026-03-11T22:30:00+00:00,XAUUSDT,long,5170.19,5158.52,0.05,-0.583712,9999.65,stop
2026-03-12T02:00:00+00:00,XAUUSDT,long,5150.63,5171.06,0.05,1.021453,10000.68,target
2026-03-12T07:45:00+00:00,XAUUSDT,long,5153.05,5179.95,0.05,1.345072,10002.02,target
2026-06-09T05:30:00+00:00,XAUUSDT,short,4343.76,4352.46,0.05,-0.435014,10001.59,stop
2026-06-09T11:45:00+00:00,XAUUSDT,long,4331.55,4346.82,0.05,0.763586,10002.35,target
2026-06-09T13:00:00+00:00,XAUUSDT,short,4345.50,4348.94,0.05,-0.171944,10002.18,stop
2026-06-10T09:15:00+00:00,XAUUSDT,long,4176.71,4169.79,0.05,-0.345929,10001.83,stop
2026-06-17T17:30:00+00:00,XAUUSDT,short,4369.64,4372.33,0.05,-0.134412,10001.70,stop
2026-06-18T03:00:00+00:00,XAUUSDT,short,4321.01,4313.69,0.05,0.365860,10002.06,target
2026-06-18T08:00:00+00:00,XAUUSDT,long,4293.00,4295.57,0.05,0.128554,10002.19,stop
2026-06-18T15:30:00+00:00,XAUUSDT,short,4261.34,4238.60,0.05,1.136769,10003.33,target
2026-06-18T22:15:00+00:00,XAUUSDT,long,4214.99,4209.70,0.05,-0.264500,10003.06,structure
